,title,author,length
0,Seventh Realm Part 1,By: Michael Chatfield,Length: 23 hrs and 21 mins
1,Reaper,By: Will Wight,Length: 23 hrs and 21 mins
2,In Trump Time,By: Peter Navarro,Length: 23 hrs and 21 mins
3,Fallout,By: Craig Alanson,Length: 23 hrs and 21 mins
4,The Gap and the Gain,"By: Dan Sullivan, Dr. Benjamin Hardy",Length: 23 hrs and 21 mins
5,The High 5 Habit,By: Mel Robbins,Length: 23 hrs and 21 mins
6,The Dying Citizen,By: Victor Davis Hanson,Length: 23 hrs and 21 mins
7,Archangel’s Light,By: Nalini Singh,Length: 23 hrs and 21 mins
8,Act Like You Got Some Sense,By: Jamie Foxx,Length: 23 hrs and 21 mins
9,He Who Fights with Monsters 4,"By: Shirtaloon, Travis Deverell",Length: 23 hrs and 21 mins
10,Shades of Twilight,By: Linda Howard,Length: 23 hrs and 21 mins
11,ReDawn,"By: Brandon Sanderson, Janci Patterson",Length: 23 hrs and 21 mins
12,A Ruin of Roses,By: K.F. Breene,Length: 23 hrs and 21 mins
13,Black Sand Baron,"By: Kyle Kirrin, Portal Books",Length: 23 hrs and 21 mins
14,Dune,By: Frank Herbert,Length: 23 hrs and 21 mins
15,The Bromance Zone,By: Lauren Blakely,Length: 23 hrs and 21 mins
16,Finding Me,By: Viola Davis,Length: 23 hrs and 21 mins
17,Better Off Dead,"By: Lee Child, Andrew Child",Length: 23 hrs and 21 mins
18,The Storyteller,By: Dave Grohl,Length: 23 hrs and 21 mins
19,Ice World,By: B.V. Larson,Length: 23 hrs and 21 mins
20,Redeeming Love,By: Francine Rivers,Length: 17 hrs and 17 mins
21,Tormented,By: Lee Mountford,Length: 17 hrs and 17 mins
22,Greenlights,By: Matthew McConaughey,Length: 17 hrs and 17 mins
23,The Sandman,"By: Neil Gaiman, Dirk Maggs",Length: 17 hrs and 17 mins
24,Cytonic,By: Brandon Sanderson,Length: 17 hrs and 17 mins
25,The Dawn of Everything,"By: David Graeber, David Wengrow",Length: 17 hrs and 17 mins
26,Apples Never Fall,By: Liane Moriarty,Length: 17 hrs and 17 mins
27,Going There,By: Katie Couric,Length: 17 hrs and 17 mins
28,Go Tell the Bees That I Am Gone,By: Diana Gabaldon,Length: 17 hrs and 17 mins
29,All Quiet on the Western Front,By: Erich Maria Remarque,Length: 17 hrs and 17 mins
30,Warhawk,By: Chris Wraight,Length: 17 hrs and 17 mins
31,Kingdom of the Cursed,By: Kerri Maniscalco,Length: 17 hrs and 17 mins
32,Sankofa,By: Chibundu Onuzo,Length: 17 hrs and 17 mins
